temps	abscisse	cote
0.	0.	1.
0.06842105	0.4838099	1.46084744
0.13684211	0.96761981	1.87576994
0.20526316	1.45142971	2.24476752
0.27368421	1.93523961	2.56784017
0.34210526	2.41904951	2.84498788
0.41052632	2.90285942	3.07621066
0.47894737	3.38666932	3.26150852
0.54736842	3.87047922	3.40088144
0.61578947	4.35428913	3.49432943
0.68421053	4.83809903	3.54185249
0.75263158	5.32190893	3.54345062
0.82105263	5.80571884	3.49912382
0.88947368	6.28952874	3.40887209
0.95789474	6.77333864	3.27269543
1.02631579	7.25714854	3.09059383
1.09473684	7.74095845	2.86256731
1.16315789	8.22476835	2.58861586
1.23157895	8.70857825	2.26873947
1.3	9.1923881	1.9029381